Iteration,SecondaryIndex Read time (ms),SecondaryIndex Write time (ms),SecondaryIndex Del time (ms),SecondaryIndex Total time (ms),SE links,Imprint links,Checksum links,Sec. Index Size (bytes),Schema Elements (SE),Schema Relations (SR),Index Size (bytes),Graph Size (bytes),SG Read time (ms),SG Write time (ms),SG Del time (ms)
0,0,0,0,0,48,7328,7328,139523,49,554,0,0,0,0,0
1,0,0,0,0,49,67978,67978,1369729,50,569,0,0,0,0,0
2,0,0,0,0,49,132776,132776,2722234,50,569,0,0,0,0,0
3,0,0,0,0,49,200090,200090,4131062,50,569,0,0,0,0,0
4,0,0,0,0,50,263183,263183,5439859,51,584,0,0,0,0,0
5,0,0,0,0,51,326247,326247,6743021,52,604,0,0,0,0,0
6,0,0,0,0,52,389321,389321,8048555,53,622,0,0,0,0,0
7,0,0,0,0,54,452402,452402,9332759,55,661,0,0,0,0,0
8,0,0,0,0,57,515472,515472,10621865,58,711,0,0,0,0,0
9,0,0,0,0,59,578554,578554,11916384,60,749,0,0,0,0,0
10,0,0,0,0,61,641620,641620,13165599,62,782,0,0,0,0,0
11,0,0,0,0,63,713489,713489,14564626,64,804,0,0,0,0,0
12,0,0,0,0,63,776564,776564,15900503,64,804,0,0,0,0,0
13,0,0,0,0,65,839614,839614,17131828,66,842,0,0,0,0,0
14,0,0,0,0,67,902694,902694,18368834,68,879,0,0,0,0,0
15,0,0,0,0,71,965770,965770,19630048,72,931,0,0,0,0,0
16,0,0,0,0,72,1033775,1033775,20974032,73,942,0,0,0,0,0
17,0,0,0,0,74,1096849,1096849,22202301,75,977,0,0,0,0,0
18,0,0,0,0,75,1159924,1159924,23467125,76,998,0,0,0,0,0
19,0,0,0,0,78,1222998,1222998,24672230,79,1057,0,0,0,0,0
20,0,0,0,0,80,1286066,1286066,25839610,81,1103,0,0,0,0,0
21,0,0,0,0,78,1222998,1222998,24519885,79,1057,0,0,0,0,0
22,0,0,0,0,75,1159924,1159924,23369228,76,998,0,0,0,0,0
23,0,0,0,0,74,1096849,1096849,22109959,75,977,0,0,0,0,0
24,0,0,0,0,72,1033775,1033775,20882200,73,942,0,0,0,0,0
25,0,0,0,0,71,965770,965770,19524427,72,931,0,0,0,0,0
26,0,0,0,0,67,902694,902694,18302061,68,879,0,0,0,0,0
27,0,0,0,0,65,839614,839614,17033144,66,842,0,0,0,0,0
28,0,0,0,0,63,776564,776564,15779036,64,804,0,0,0,0,0
29,0,0,0,0,63,713489,713489,14542487,64,804,0,0,0,0,0
30,0,0,0,0,61,641620,641620,13083669,62,782,0,0,0,0,0
31,0,0,0,0,59,578554,578554,11810955,60,749,0,0,0,0,0
32,0,0,0,0,57,515472,515472,10576841,58,711,0,0,0,0,0
33,0,0,0,0,54,452402,452402,9258655,55,661,0,0,0,0,0
34,0,0,0,0,52,389321,389321,7971762,53,622,0,0,0,0,0
35,0,0,0,0,51,326247,326247,6708317,52,604,0,0,0,0,0
36,0,0,0,0,50,263183,263183,5384791,51,584,0,0,0,0,0
37,0,0,0,0,49,200090,200090,4083273,50,569,0,0,0,0,0
38,0,0,0,0,49,132776,132776,2684175,50,569,0,0,0,0,0
39,0,0,0,0,49,67978,67978,1351219,50,569,0,0,0,0,0
40,0,0,0,0,48,7328,7328,135660,49,554,0,0,0,0,0
